ID,Make,Name,Type,AWD,RWD,Retail Price,Dealer Cost,Engine Size,Cylinder,Horsepower,City MPG,Highway MPG,Weight,Wheel Base,Length,Width
0,Audi,Audi A4 1.8T 4dr,Sedan,0,0,25940,23508,1.8,4,170,22,31,3252,104,179,70
1,Audi,Audi A4 3.0 4dr,Sedan,0,0,31840,28846,3,6,220,20,28,3462,104,179,70
2,Audi,Audi A4 3.0 convertible 2dr,Sedan,0,0,42490,38325,3,6,220,20,27,3814,105,180,70
3,Audi,Audi A4 3.0 Quattro 4dr auto,Sedan,1,0,34480,31388,0,6,220,18,25,3627,104,179,70
4,Audi,Audi A6 2.7 Turbo Quattro 4dr,Sedan,1,0,42840,38840,2.7,6,250,18,25,3836,109,192,71
5,Audi,Audi A6 3.0 4dr,Sedan,0,0,36640,33129,3,6,220,20,27,3561,109,192,71
6,Audi,Audi A6 3.0 Avant Quattro,Wagon,1,0,40840,37060,3,6,220,18,25,4035,109,192,71
7,Audi,Audi A6 3.0 Quattro 4dr,Sedan,1,0,39640,35992,3,6,220,18,25,3880,109,192,71
8,Audi,Audi A6 4.2 Quattro 4dr,Sedan,1,0,49690,44936,4.2,8,300,17,24,4024,109,193,71
9,Audi,Audi A8 L Quattro 4dr,Sedan,1,0,69190,64740,4.2,8,330,17,24,4399,121,204,75
10,Audi,Audi RS 6 4dr,Sports Car,0,0,84600,76417,4.2,8,450,15,22,4024,109,191,78
11,Audi,Audi S4 Avant Quattro,Wagon,1,0,49090,44446,4.2,8,340,15,21,3936,104,179,70
12,Audi,Audi S4 Quattro 4dr,Sedan,1,0,48040,43556,4.2,8,340,14,20,3825,104,179,70
13,Audi,Audi TT 1.8 convertible 2dr (coupe),Sports Car,0,0,35940,32512,1.8,4,180,20,28,3131,95,159,73
14,Audi,Audi TT 1.8 Quattro 2dr (convertible),Sports Car,1,0,37390,33891,1.8,4,225,20,28,2921,96,159,73
15,Audi,Audi TT 3.2 coupe 2dr (convertible),Sports Car,1,0,40590,36739,3.2,6,250,21,29,3351,96,159,73
16,BMW,BMW 325Ci 2dr,Sedan,0,1,30795,28245,2.5,6,184,20,29,3197,107,177,69
17,BMW,BMW 325Ci convertible 2dr,Sedan,0,1,37995,34800,2.5,6,184,19,27,3560,107,177,69
18,BMW,BMW 325i 4dr,Sedan,0,1,28495,26155,2.5,6,184,20,29,3219,107,176,69
19,BMW,BMW 325xi 4dr,Sedan,1,0,30245,27745,2.5,6,184,19,27,3461,107,176,69
20,BMW,BMW 330i 4dr,Sedan,0,1,35495,32525,3,6,225,20,30,3285,107,176,69
21,BMW,BMW 330xi 4dr,Sedan,1,0,37245,34115,3,6,225,20,29,3483,107,176,69
22,BMW,BMW 525i 4dr,Sedan,0,1,39995,36620,2.5,6,184,19,28,3428,114,191,73
23,BMW,BMW 530i 4dr,Sedan,0,1,44995,41170,3,6,225,20,30,3472,114,191,73
24,BMW,BMW 545iA 4dr,Sedan,0,1,54995,50270,4.4,8,325,18,26,3814,114,191,73
25,BMW,BMW 745i 4dr,Sedan,0,1,69195,63190,4.4,8,325,18,26,4376,118,198,75
26,BMW,BMW 745Li 4dr,Sedan,0,1,73195,66830,4.4,8,325,18,26,4464,123,204,75
27,BMW,BMW M3 convertible 2dr,Sports Car,0,1,56595,51815,3.2,6,333,16,23,3781,108,177,70
28,BMW,BMW M3 coupe 2dr,Sports Car,0,1,48195,44170,3.2,6,333,16,24,3415,108,177,70
29,BMW,BMW X3 3.0i,SUV,1,0,37000,33873,3,6,225,16,23,4023,110,180,73
30,BMW,BMW X5 4.4i,SUV,1,0,52195,47720,4.4,8,325,16,22,4824,111,184,74
31,BMW,BMW Z4 convertible 2.5i 2dr,Sports Car,0,1,33895,31065,2.5,6,184,20,28,2932,98,161,70
32,BMW,BMW Z4 convertible 3.0i 2dr,Sports Car,0,1,41045,37575,3,6,225,21,29,2998,98,161,70
33,Dodge,Dodge Caravan SE,Minivan,0,0,21795,20508,2.4,4,150,20,26,3862,113,189,79
34,Dodge,Dodge Durango SLT,SUV,1,0,32235,29472,4.7,8,230,15,21,4987,119,201,76
35,Dodge,Dodge Grand Caravan SXT,Minivan,1,0,32660,29812,3.8,6,215,18,25,4440,119,201,79
36,Dodge,Dodge Intrepid ES 4dr,Sedan,0,0,24885,23058,3.5,6,232,18,27,3487,113,204,75
37,Dodge,Dodge Intrepid SE 4dr,Sedan,0,0,22035,20502,2.7,6,200,21,29,3469,113,204,75
38,Dodge,Dodge Neon SE 4dr,Sedan,0,0,13670,12849,2,4,132,29,36,2581,105,174,67
39,Dodge,Dodge Neon SXT 4dr,Sedan,0,0,15040,14086,2,4,132,29,36,2626,105,174,67
40,Dodge,Dodge Stratus SE 4dr,Sedan,0,0,20220,18821,2.4,4,150,21,28,3175,108,191,71
41,Dodge,Dodge Stratus SXT 4dr,Sedan,0,0,18820,17512,2.4,4,150,21,28,3182,108,191,71
42,Ford,Ford Crown Victoria 4dr,Sedan,0,1,24345,22856,4.6,8,224,17,25,4057,115,212,78
43,Ford,Ford Crown Victoria LX 4dr,Sedan,0,1,27370,25105,4.6,8,224,17,25,4057,115,212,78
44,Ford,Ford Crown Victoria LX Sport 4dr,Sedan,0,1,30315,27756,4.6,8,239,17,25,4057,115,212,78
45,Ford,Ford Escape XLS,SUV,1,0,22515,20907,3,6,201,18,23,3346,103,173,70
46,Ford,Ford Expedition 4.6 XLT,SUV,0,0,34560,30468,4.6,8,232,15,19,5000,119,206,79
47,Ford,Ford Explorer XLT V6,SUV,1,0,29670,26983,4,6,210,15,20,4463,114,190,72
48,Ford,Ford Focus LX 4dr,Sedan,0,0,13730,12906,2,4,110,27,36,2606,103,168,67
49,Ford,Ford Focus SE 4dr,Sedan,0,0,15460,14496,2,4,130,26,33,2606,103,168,67
50,Ford,Ford Focus SVT 2dr,Sedan,0,0,19135,17878,2,4,170,21,28,2750,103,168,67
51,Ford,Ford Focus ZTW,Wagon,0,0,17475,16375,2,4,130,26,33,2702,103,178,67
52,Ford,Ford Focus ZX3 2dr hatch,Sedan,0,0,13270,12482,2,4,130,26,33,2612,103,168,67
53,Ford,Ford Focus ZX5 5dr,Sedan,0,0,15580,14607,2,4,130,26,33,2691,103,168,67
54,Ford,Ford Freestar SE,Minivan,0,0,26930,24498,3.9,6,193,17,23,4275,121,201,77
55,Ford,Ford Mustang 2dr (convertible),Sports Car,0,1,18345,16943,3.8,6,193,20,29,3290,101,183,73
56,Ford,Ford Mustang GT Premium convertible 2dr,Sports Car,0,1,29380,26875,4.6,8,260,17,25,3347,101,183,73
57,Ford,Ford Taurus LX 4dr,Sedan,0,0,20320,18881,3,6,155,20,27,3306,109,198,73
58,Ford,Ford Taurus SE,Wagon,0,0,22290,20457,3,6,155,19,26,3497,109,198,73
59,Ford,Ford Taurus SES Duratec 4dr,Sedan,0,0,22735,20857,3,6,201,19,26,3313,109,198,73
60,Ford,Ford Thunderbird Deluxe convert w/hardtop 2dr,Sports Car,0,0,37530,34483,3.9,8,280,17,24,3780,107,186,72
61,Honda,Honda Accord EX 2dr,Sedan,0,0,22260,20080,2.4,4,160,26,34,3047,105,188,71
62,Honda,Honda Accord EX V6 2dr,Sedan,0,0,26960,24304,3,6,240,21,30,3294,105,188,71
63,Honda,Honda Accord LX 2dr,Sedan,0,0,19860,17924,2.4,4,160,26,34,2994,105,188,71
64,Honda,Honda Accord LX V6 4dr,Sedan,0,0,23760,21428,3,6,240,21,30,3349,108,190,72
65,Honda,Honda Civic DX 2dr,Sedan,0,0,13270,12175,1.7,4,115,32,38,2432,103,175,67
66,Honda,Honda Civic EX 4dr,Sedan,0,0,17750,16265,1.7,4,127,32,37,2601,103,175,68
67,Honda,Honda Civic HX 2dr,Sedan,0,0,14170,12996,1.7,4,117,36,44,2500,103,175,67
68,Honda,Honda Civic Hybrid 4dr manual (gas/electric),Sedan,0,0,20140,18451,1.4,4,93,46,51,2732,103,175,68
69,Honda,Honda Civic LX 4dr,Sedan,0,0,15850,14531,1.7,4,115,32,38,2513,103,175,68
70,Honda,Honda Civic Si 2dr hatch,Sedan,0,0,19490,17849,2,4,160,26,30,2782,101,166,67
71,Honda,Honda CR-V LX,SUV,1,0,19860,18419,2.4,4,160,21,25,3258,103,179,70
72,Honda,Honda Element LX,SUV,1,0,18690,17334,2.4,4,160,21,24,3468,101,167,72
73,Honda,Honda Insight 2dr (gas/electric),Sedan,0,0,19110,17911,2,3,73,60,66,1850,95,155,67
74,Honda,Honda Odyssey EX,Minivan,0,0,27450,24744,3.5,6,240,18,25,4365,118,201,76
75,Honda,Honda Odyssey LX,Minivan,0,0,24950,22498,3.5,6,240,18,25,4310,118,201,76
76,Honda,Honda Pilot LX,SUV,1,0,27560,24843,3.5,6,240,17,22,4387,106,188,77
77,Honda,Honda S2000 convertible 2dr,Sports Car,0,1,33260,29965,2.2,4,240,20,25,2835,95,162,69
78,Hyundai,Hyundai Accent 2dr hatch,Sedan,0,0,10539,10107,1.6,4,103,29,33,2255,96,167,66
79,Hyundai,Hyundai Accent GL 4dr,Sedan,0,0,11839,11116,1.6,4,103,29,33,2290,96,167,66
80,Hyundai,Hyundai Accent GT 2dr hatch,Sedan,0,0,11939,11209,1.6,4,103,29,33,2339,96,167,66
81,Hyundai,Hyundai Elantra GLS 4dr,Sedan,0,0,13839,12781,2,4,138,26,34,2635,103,178,68
82,Hyundai,Hyundai Elantra GT 4dr,Sedan,0,0,15389,14207,2,4,138,26,34,2635,103,178,68
83,Hyundai,Hyundai Elantra GT 4dr hatch,Sedan,0,0,15389,14207,2,4,138,26,34,2698,103,178,68
84,Hyundai,Hyundai Sonata GLS 4dr,Sedan,0,0,19339,17574,2.7,6,170,19,27,3217,106,187,72
85,Hyundai,Hyundai Sonata LX 4dr,Sedan,0,0,20339,18380,2.7,6,170,19,27,3217,106,187,72
86,Hyundai,Hyundai Tiburon GT V6 2dr,Sports Car,0,0,18739,17101,2.7,6,172,19,26,3023,100,173,69
87,Hyundai,Hyundai XG350 4dr,Sedan,0,0,24589,22055,3.5,6,194,17,26,3651,108,192,72
88,Hyundai,Hyundai XG350 L 4dr,Sedan,0,0,26189,23486,3.5,6,194,17,26,3651,108,192,72